org.apache.tools.ant.AntClassLoader,1380
org.apache.tools.ant.AntClassLoader.ResourceEnumeration,0
org.apache.tools.ant.AntTypeDefinition,153
org.apache.tools.ant.ArgumentProcessor,10
org.apache.tools.ant.ArgumentProcessorRegistry,34
org.apache.tools.ant.BuildEvent,22
org.apache.tools.ant.BuildException,0
org.apache.tools.ant.BuildListener,21
org.apache.tools.ant.BuildLogger,6
org.apache.tools.ant.ComponentHelper,636
org.apache.tools.ant.DefaultDefinitions,0
org.apache.tools.ant.DefaultLogger,145
org.apache.tools.ant.DemuxInputStream,0
org.apache.tools.ant.DemuxOutputStream,28
org.apache.tools.ant.DemuxOutputStream.BufferInfo,Class contains less than 2 methods
org.apache.tools.ant.Diagnostics,561
org.apache.tools.ant.DirectoryScanner,2095
org.apache.tools.ant.DynamicAttribute,Class contains less than 2 methods
org.apache.tools.ant.DynamicAttributeNS,Class contains less than 2 methods
org.apache.tools.ant.DynamicConfigurator,Class contains less than 2 methods
org.apache.tools.ant.DynamicConfiguratorNS,Class contains less than 2 methods
org.apache.tools.ant.DynamicElement,Class contains less than 2 methods
org.apache.tools.ant.DynamicElementNS,Class contains less than 2 methods
org.apache.tools.ant.DynamicObjectAttribute,Class contains less than 2 methods
org.apache.tools.ant.Evaluable,Class contains less than 2 methods
org.apache.tools.ant.Executor,1
org.apache.tools.ant.ExitException,Class contains less than 2 methods
org.apache.tools.ant.ExitStatusException,Class contains less than 2 methods
org.apache.tools.ant.ExtensionPoint,0
org.apache.tools.ant.FileScanner,91
org.apache.tools.ant.IntrospectionHelper,741
org.apache.tools.ant.IntrospectionHelper.AddNestedCreator,4
org.apache.tools.ant.IntrospectionHelper.AttributeSetter,1
org.apache.tools.ant.IntrospectionHelper.CreateNestedCreator,Class contains less than 2 methods
org.apache.tools.ant.IntrospectionHelper.Creator,0
org.apache.tools.ant.IntrospectionHelper.MethodAndObject,Class contains less than 2 methods
org.apache.tools.ant.IntrospectionHelper.NestedCreator,10
org.apache.tools.ant.Location,11
org.apache.tools.ant.MagicNames,Class contains less than 2 methods
org.apache.tools.ant.Main,407
org.apache.tools.ant.NoBannerLogger,0
org.apache.tools.ant.PathTokenizer,0
org.apache.tools.ant.Project,7244
org.apache.tools.ant.Project.AntRefTable,1
org.apache.tools.ant.ProjectComponent,30
org.apache.tools.ant.ProjectHelper,400
org.apache.tools.ant.ProjectHelper.OnMissingExtensionPoint,1
org.apache.tools.ant.ProjectHelperRepository,47
org.apache.tools.ant.ProjectHelperRepository.ConstructingIterator,1
org.apache.tools.ant.PropertyHelper,860
org.apache.tools.ant.PropertyHelper.Delegate,Class contains less than 2 methods
org.apache.tools.ant.PropertyHelper.PropertyEvaluator,Class contains less than 2 methods
org.apache.tools.ant.PropertyHelper.PropertySetter,1
org.apache.tools.ant.RuntimeConfigurable,261
org.apache.tools.ant.RuntimeConfigurable.AttributeComponentInformation,1
org.apache.tools.ant.RuntimeConfigurable.EnableAttributeConsumer,Class contains less than 2 methods
org.apache.tools.ant.SubBuildListener,1
org.apache.tools.ant.Target,281
org.apache.tools.ant.Target.IfStringCondition,Class contains less than 2 methods
org.apache.tools.ant.Target.UnlessStringCondition,Class contains less than 2 methods
org.apache.tools.ant.Task,318
org.apache.tools.ant.TaskAdapter,4
org.apache.tools.ant.TaskConfigurationChecker,0
org.apache.tools.ant.TaskContainer,Class contains less than 2 methods
org.apache.tools.ant.TypeAdapter,10
org.apache.tools.ant.UnknownElement,269
org.apache.tools.ant.UnsupportedAttributeException,Class contains less than 2 methods
org.apache.tools.ant.UnsupportedElementException,Class contains less than 2 methods
org.apache.tools.ant.XmlLogger,57
org.apache.tools.ant.XmlLogger.TimedElement,Class contains less than 2 methods
org.apache.tools.ant.attribute.AttributeNamespace,Class contains less than 2 methods
org.apache.tools.ant.attribute.BaseIfAttribute,0
org.apache.tools.ant.attribute.EnableAttribute,Class contains less than 2 methods
org.apache.tools.ant.attribute.IfBlankAttribute,Class contains less than 2 methods
org.apache.tools.ant.attribute.IfBlankAttribute.Unless,Class contains less than 2 methods
org.apache.tools.ant.attribute.IfSetAttribute,Class contains less than 2 methods
org.apache.tools.ant.attribute.IfSetAttribute.Unless,Class contains less than 2 methods
org.apache.tools.ant.attribute.IfTrueAttribute,Class contains less than 2 methods
org.apache.tools.ant.attribute.IfTrueAttribute.Unless,Class contains less than 2 methods
