metrics,value
3, 317
3, 71
3, 9
3, 4
3, 0
1, 0
3, 314
3, 70
2, 5
2, 54
3, 0
3, 374
2, 0
1, 0
2, 0
2, 1
2, 1
1, 0
3, 246
3, 19
3, 0
3, 296
3, 10
1, 28
3, 387
3, 15
3, 29
1, 63
3, 121
3, 115
3, 72
2, 70
3, 13
1, 14
2, 0
1, 0
3, 197
2, 1
2, 1
3, 139
1, 3
2, 0
1, 0
2, 29
1, 3
1, 0
3, 25
1, 43
2, 17
3, 22
2, 36
3, 43
2, 36
2, 44
2, 30
3, 91
1, 53
2, 0
3, 32
2, 24
3, 35
3, 25
3, 52
3, 43
1, 1
3, 71
2, 0
3, 57
2, 7
1, 11
3, 92
3, 25
2, 2
3, 30
1, 17
2, 0
2, 6
2, 2
2, 14
1, 7
1, 0
1, 0
3, 122
3, 0
3, 54
1, 31
2, 110
3, 53
3, 80
1, 25
2, 2
2, 0
1, 0
1, 1
1, 0
1, 47
1, 0
1, 25
3, 168
2, 74
3, 186
3, 19
3, 20
1, 8
2, 24
3, 126
3, 24
2, 8
2, 14
2, 32
3, 29
2, 44
3, 166
3, 40
3, 47
1, 0
3, 124
3, 19
3, 263
2, 39
2, 34
2, 16
1, 0
2, 21
2, 21
3, 145
3, 212
1, 22
3, 66
2, 1
3, 8
3, 21
3, 15
2, 13
3, 54
3, 152
3, 66
2, 75
3, 220
1, 0
2, 20
3, 38
3, 131
2, 13
3, 69
3, 16
2, 5
2, 83
3, 102
1, 66
3, 98
3, 28
3, 85
3, 286
3, 200
3, 240
3, 562
3, 23
2, 26
3, 33
2, 53
2, 1
3, 53
2, 51
3, 5
2, 4
3, 91
3, 165
1, 72
3, 76
2, 47
1, 0
3, 54
2, 54
2, 21
3, 127
1, 12
3, 41
3, 111
2, 45
3, 94
2, 20
3, 34
3, 140
1, 28
3, 45
2, 42
3, 63
3, 238
2, 12
3, 144
2, 20
1, 12
3, 147
3, 224
2, 1
3, 7
3, 107
3, 15
3, 44
3, 123
3, 121
3, 220
2, 8
1, 0
3, 14
3, 78
3, 0
1, 50
2, 19
1, 0
3, 36
3, 28
3, 62
2, 35
3, 27
3, 31
3, 44
1, 0
2, 0
1, 0
1, 0
1, 0
3, 265
3, 160
3, 551
1, 12
1, 10
2, 0
3, 0
3, 204
3, 52
3, 10
2, 8
2, 16
3, 79
2, 37
2, 37
2, 7
2, 6
2, 42
2, 0
3, 22
2, 6
3, 31
2, 9
2, 16
2, 44
3, 19
1, 3
1, 4
1, 13
1, 39
2, 32
3, 16
3, 4
2, 13
1, 4
1, 18
2, 5
2, 6
3, 5
1, 25
1, 39
2, 18
1, 11
1, 15
2, 6
2, 8
3, 85
3, 110
2, 27
3, 137
3, 13
2, 10
2, 65
2, 3
2, 1
2, 7
1, 19
3, 134
1, 4
3, 23
3, 22
3, 83
3, 70
1, 7
3, 100
3, 101
3, 102
3, 91
3, 63
3, 261
3, 40
2, 29
3, 125
3, 78
2, 64
2, 11
3, 166
3, 114
2, 42
1, 0
1, 0
1, 0
2, 59
2, 22
2, 15
2, 46
2, 76
2, 53
2, 47
2, 59
2, 58
2, 53
2, 20
2, 38
2, 44
2, 28
2, 45
2, 23
1, 0
2, 0
3, 316
2, 25
1, 12
2, 83
1, 4
1, 2
1, 18
1, 18
1, 5
3, 142
2, 86
2, 87
2, 0
2, 90
3, 225
2, 73
2, 89
2, 53
2, 3
2, 20
3, 201
3, 200
2, 15
3, 200
2, 1
2, 1
3, 0
3, 60
3, 33
2, 0
3, 31
3, 0
2, 10
1, 36
1, 24
3, 56
3, 58
2, 6
2, 46
3, 59
2, 22
2, 6
2, 34
3, 163
3, 92
1, 19
2, 16
1, 0
1, 51
1, 14
3, 44
3, 156
3, 0
2, 38
3, 120
3, 16
3, 130
1, 0
3, 20
3, 92
2, 26
2, 50
2, 0
3, 0
3, 75
3, 27
3, 43
3, 61
2, 0
3, 0
1, 0
1, 83
3, 59
2, 0
3, 427
1, 0
1, 9
3, 59
3, 160
3, 0
1, 0
3, 85
3, 33
3, 0
3, 86
2, 71
1, 10
1, 11
2, 0
2, 0
1, 11
3, 405
2, 0
1, 122
2, 2
3, 42
3, 59
3, 37
3, 142
2, 2
3, 77
2, 23
3, 86
1, 18
1, 14
3, 0
1, 22
1, 16
3, 42
2, 12
3, 54
3, 69
3, 47
2, 22
2, 0
3, 33
3, 108
2, 21
3, 135
3, 83
2, 47
3, 67
2, 50
1, 3
1, 0
1, 100
3, 7
1, 6
1, 6
3, 132
3, 164
2, 19
1, 19
1, 25
1, 11
1, 15
3, 0
2, 26
1, 35
1, 20
3, 20
3, 92
2, 16
2, 18
2, 0
3, 0
3, 11
3, 19
1, 3
3, 231
3, 45
2, 126
2, 68
2, 53
3, 41
3, 105
2, 5
